TimeStamp,HumanReadableTime,Heading
2016-05-09 22:11:15 +0000,2016-05-09 22:11:15 +0000,197.564285
2016-05-09 22:11:15 +0000,2016-05-09 22:11:15 +0000,198.863602
2016-05-09 22:11:15 +0000,2016-05-09 22:11:15 +0000,196.498306
2016-05-09 22:11:15 +0000,2016-05-09 22:11:15 +0000,198.522339
2016-05-09 22:11:15 +0000,2016-05-09 22:11:15 +0000,200.293335
2016-05-09 22:11:15 +0000,2016-05-09 22:11:15 +0000,202.111572
2016-05-09 22:11:15 +0000,2016-05-09 22:11:15 +0000,205.101425
2016-05-09 22:11:16 +0000,2016-05-09 22:11:16 +0000,203.860092
2016-05-09 22:11:16 +0000,2016-05-09 22:11:16 +0000,205.072113
2016-05-09 22:11:16 +0000,2016-05-09 22:11:16 +0000,203.042648
2016-05-09 22:11:16 +0000,2016-05-09 22:11:16 +0000,200.660736
2016-05-09 22:11:16 +0000,2016-05-09 22:11:16 +0000,198.869598
2016-05-09 22:11:16 +0000,2016-05-09 22:11:16 +0000,196.101379
2016-05-09 22:11:16 +0000,2016-05-09 22:11:16 +0000,194.389587
2016-05-09 22:11:16 +0000,2016-05-09 22:11:16 +0000,196.213013
2016-05-09 22:11:16 +0000,2016-05-09 22:11:16 +0000,193.673706
2016-05-09 22:11:16 +0000,2016-05-09 22:11:16 +0000,192.172501
2016-05-09 22:11:16 +0000,2016-05-09 22:11:16 +0000,190.207123
2016-05-09 22:11:16 +0000,2016-05-09 22:11:16 +0000,191.862640
2016-05-09 22:11:16 +0000,2016-05-09 22:11:16 +0000,190.785538
2016-05-09 22:11:16 +0000,2016-05-09 22:11:16 +0000,192.559296
2016-05-09 22:11:17 +0000,2016-05-09 22:11:17 +0000,193.897873
2016-05-09 22:11:17 +0000,2016-05-09 22:11:17 +0000,192.131805
2016-05-09 22:11:17 +0000,2016-05-09 22:11:17 +0000,187.049057
2016-05-09 22:11:17 +0000,2016-05-09 22:11:17 +0000,198.603043
2016-05-09 22:11:17 +0000,2016-05-09 22:11:17 +0000,197.419113
2016-05-09 22:11:17 +0000,2016-05-09 22:11:17 +0000,196.158737
2016-05-09 22:11:17 +0000,2016-05-09 22:11:17 +0000,194.517029
2016-05-09 22:11:17 +0000,2016-05-09 22:11:17 +0000,192.939713
